Energy_keV,InputSpectrum,DetectedSpectrum,GaussianFit
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.668941282670670713e-49
2.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.804453457929295317e-49
2.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.005517707282546951e-48
2.300000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.883931819373670386e-48
2.400000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.347423843650249142e-47
2.500000000000000444e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.952274350685361870e-47
2.600000000000000533e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.676307983350651046e-46
2.700000000000000622e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.947994661717083224e-46
2.800000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.972078218498871786e-45
2.900000000000000799e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.807078358132007779e-45
3.000000000000000888e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.214873934648801752e-44
3.100000000000000977e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.046967357979737541e-43
3.200000000000001066e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.387249813032708583e-43
3.300000000000001155e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.088694941898381644e-42
3.400000000000001243e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.476242578726327408e-42
3.500000000000001332e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.102703710854012228e-41
3.600000000000001421e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.474981439328106528e-41
3.700000000000001510e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.087905154074666213e-40
3.800000000000001599e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.383564588663013578e-40
3.900000000000001688e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.045448875417118974e-39
4.000000000000001776e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.209046574538915999e-39
4.100000000000001421e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.785750362944993491e-39
4.200000000000001954e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.964538786099951257e-38
4.300000000000002487e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.922057806189374980e-38
4.400000000000002132e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.667582259459887448e-37
4.500000000000001776e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.923471499895199740e-37
4.600000000000002309e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.338073026300394699e-36
4.700000000000002842e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.854022643558590004e-36
4.800000000000002487e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.996079755389847074e-35
4.900000000000002132e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.775041864987726477e-35
5.000000000000002665e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.659882230293949759e-34
5.100000000000003197e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.739628543261924573e-34
5.200000000000002842e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.344485827680805202e-33
5.300000000000002487e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.788899125383108430e-33
5.400000000000003020e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.060754172999858876e-32
5.500000000000003553e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.950267171950737940e-32
5.600000000000003197e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.151787247692562257e-32
5.700000000000002842e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.237634853980628430e-31
5.800000000000003375e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.101975948073514058e-31
5.900000000000003908e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.653090601168083273e-30
6.000000000000003553e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.449054375886611770e-30
6.100000000000003197e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.189552632776969427e-29
6.200000000000003730e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.159690200177251281e-29
6.300000000000004263e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.337776237535050419e-29
