Energy_keV,FWHM_keV,FWHM_error_keV,FWHM_fit_keV,Residual_keV
13,2.16557334347298,0.0890670039093031,2.24816242028473,-0.0825890768117445
17,2.60789720630773,0.0967425178502666,2.57087208423775,0.0370251220699829
21,2.73708424834719,0.173810716686702,2.85736456880206,-0.120280320454873
25,3.54624161490281,0.359481693564465,3.11764033919531,0.428601275707498
26,3.31879289584939,0.5,3.17938178518418,0.139411110665213
29,3.61456252736905,0.188006058864268,3.35780140718749,0.256761120181557
33,3.74172892347233,0.5,3.58189604757631,0.159832875896028
37,3.66853839201401,0.5,3.79277316764069,-0.124234775626685
50,4.07568500827661,0.5,4.40900925029146,-0.333324242014847
80,5.38728892894616,0.405960040636643,5.57700458226897,-0.189715653322808
